mileage,make,model,fuel,gear,offerType,price,hp,year,price_log,car_age,pred,residual,abs_error
123221,Skoda,Fabia,Diesel,Manual,Used,7710,"90,0",2017,"8,950273466557375",5,"9,011914088489126","-0,06164062193175113","0,06164062193175113"
73263,Ford,Mondeo,Diesel,Manual,Used,17400,"179,0",2017,"9,764225485202621",5,"9,89817953080757","-0,1339540456049484","0,1339540456049484"
21800,Opel,Mokka X,Gasoline,Manual,Used,13450,"116,0",2018,"9,506734385029985",4,"9,644881804547502","-0,13814741951751763","0,13814741951751763"
27443,Volkswagen,up!,Gasoline,Manual,Used,7988,"60,0",2019,"8,985695694535705",3,"9,13102780317898","-0,1453321086432755","0,1453321086432755"
65000,Opel,Astra,Gasoline,Manual,Used,12480,"140,0",2018,"9,43188264192342",4,"9,61924297923226","-0,18736033730884039","0,18736033730884039"
120000,Skoda,Rapid/Spaceback,Diesel,Manual,Used,7200,"90,0",2014,"8,881836305004146",8,"8,864916196308974","0,016920108695172686","0,016920108695172686"
99879,Volkswagen,Golf,Diesel,Automatic,Used,13449,"116,0",2018,"9,506660032823548",4,"9,585896677146097","-0,07923664432254895","0,07923664432254895"
24264,Renault,Captur,Gasoline,Automatic,Used,15890,"118,0",2017,"9,673445259530762",5,"9,60971610325881","0,06372915627195219","0,06372915627195219"
181328,Opel,Zafira,Diesel,Manual,Used,8980,"120,0",2017,"9,102755161296246",5,"9,046771278157284","0,0559838831389623","0,0559838831389623"
18163,Skoda,Fabia,Gasoline,Manual,Used,12950,"95,0",2020,"9,468851067127684",2,"9,62251249969777","-0,15366143257008602","0,15366143257008602"
3950,Volkswagen,Polo,Gasoline,Manual,Used,10740,"75,0",2017,"9,281730368062856",5,"9,263634625603816","0,018095742459040665","0,018095742459040665"
20,Renault,Captur,Gasoline,Manual,Pre-registered,19990,"91,0",2021,"9,902987427494446",1,"9,769603103749214","0,1333843237452328","0,1333843237452328"
58400,Volkswagen,Caddy,Gasoline,Automatic,Used,24990,"125,0",2018,"10,126231023828998",4,"9,771427561566373","0,35480346226262505","0,35480346226262505"
24866,Opel,Mokka X,Gasoline,Manual,Used,15980,"140,0",2019,"9,679093219320265",3,"9,756354060335328","-0,07726084101506281","0,07726084101506281"
35403,Ford,Kuga,Gasoline,Automatic,Used,22250,"182,0",2018,"10,010097287594386",4,"9,955777830292497","0,05431945730188836","0,05431945730188836"
68986,Volkswagen,Golf,Diesel,Manual,Used,15900,"150,0",2015,"9,674074388208323",7,"9,598760194935048","0,07531419327327527","0,07531419327327527"
50,Skoda,Fabia,Gasoline,Manual,Pre-registered,13447,"95,0",2021,"9,50651131182387",1,"9,716314462333369","-0,20980315050949905","0,20980315050949905"
102000,Opel,Astra,Gasoline,Manual,Used,10980,"150,0",2015,"9,30383071506352",7,"9,320828246639982","-0,016997531576461","0,016997531576461"
95000,Opel,Corsa,Gasoline,Manual,Used,5999,"87,0",2013,"8,699348067653093",9,"8,715881400146193","-0,016533332493100517","0,016533332493100517"
211000,Ford,Fiesta,Gasoline,Manual,Used,4900,"182,0",2014,"8,496990484098719",8,"9,038066017765447","-0,5410755336667279","0,5410755336667279"
